seller_id;seller_city;seller_state;total_itens;total_pedidos;atraso_pct;nota_media
527801b552d0077ffd170872eb49683b;garca;SP;92;90;0.09782608695652174;4.483516483516484
4a3ca9315b744ce9f8e9374361493884;ibitinga;SP;1971;1772;0.09690512430238457;3.8286300667008724
e9bc59e7b60fc3063eb2290deda4cced;maringa;PR;260;209;0.09615384615384616;4.0346153846153845
4e17c65a516f69d023a2ae78b84f28d6;suzano;SP;74;61;0.0945945945945946;4.081081081081081
23d7c96d4a1160db1c726b248601b25a;capivari;SP;53;50;0.09433962264150944;3.9215686274509802
f0b47fbbc6dee9aafe415a6e33051b3f;maua;SP;85;67;0.09411764705882353;4.258823529411765
e9d99831abad74458942f21e16f33f92;sao paulo;SP;149;130;0.09395973154362416;3.9054054054054053
165fc07beebdcb6190fba8a06db2a449;maringa;PR;64;50;0.09375;3.6875
70a12e78e608ac31179aea7f8422044b;jacarei;SP;323;312;0.09287925696594428;3.794392523364486
f84a00e60c73a49e7e851c9bdca3a5bb;rio de janeiro;RJ;97;88;0.09278350515463918;3.7216494845360826
a888faf2d1baececa6baf9c3d603ee1f;umuarama;PR;54;53;0.09259259259259259;4.111111111111111
fa1c13f2614d7b5c4749cbc52fecda94;sumare;SP;579;578;0.09153713298791019;4.373913043478261
5343d0649eca2a983820bfe93fc4d17e;santo andre;SP;110;70;0.09090909090909091;3.638888888888889
aac29b1b99776be73c3049939652091d;uberlandia;MG;133;94;0.09022556390977443;4.007751937984496
634964b17796e64304cadf1ad3050fb7;rio de janeiro;RJ;323;265;0.08978328173374613;3.873065015479876
4e922959ae960d389249c378d1c939f5;jacarei;SP;446;412;0.08968609865470852;3.9027149321266967
f84fa566034f5e8e880a07ec624c56af;indaiatuba;SP;101;89;0.0891089108910891;4.306930693069307
1835b56ce799e6a4dc4eddc053f04066;ibitinga;SP;553;417;0.08860759493670886;3.619744058500914
23613d49c3ac2bd302259e55c06c050c;porto ferreira;SP;79;69;0.08860759493670886;3.6923076923076925
7c67e1448b00f6e969d365cea6b010ab;itaquaquecetuba;SP;1366;973;0.08857979502196194;3.35419734904271
77530e9772f57a62c906e1c21538ab82;curitiba;PR;384;312;0.08854166666666667;4.0859375
a3e9a2c700480d9bb01fba070ba80a0e;ibitinga;SP;147;129;0.08843537414965986;4.020689655172414
8648b1e89e9b349e32d3741b30ec737e;jacarei;SP;102;93;0.08823529411764706;4.127450980392157
d13e50eaa47b4cbe9eb81465865d8cfc;santo andre;SP;68;66;0.08823529411764706;4.8088235294117645
0dd184061fb0eaa7ca37932c68ab91c5;guarulhos;SP;193;161;0.08808290155440414;3.953125
7d76b645482be4a332374e8223836592;sao paulo;SP;183;172;0.08743169398907104;3.9668508287292816
cfb1a033743668a192316f3c6d1d2671;votorantim;SP;184;143;0.08695652173913043;3.9945355191256833
8b321bb669392f5163d04c59e235e066;sao paulo;SP;1005;930;0.08656716417910448;4.021978021978022
ececbfcff9804a2d6b40f589df8eef2b;franca;SP;104;97;0.08653846153846154;4.125
b14db04aa7881970e83ffa9426897925;sorocaba;SP;105;78;0.08571428571428572;3.8020833333333335
fe2032dab1a61af8794248c8196565c9;campinas;SP;305;293;0.08524590163934426;4.395348837209302
5d0363b33554b373851fc1622e4d5f3c;atibaia;SP;94;93;0.0851063829787234;4.085106382978723
4c2b230173bb36f9b240f2b8ac11786e;sao paulo;SP;344;258;0.08430232558139535;3.761764705882353
522620dcb18a6b31cd7bdf73665113a9;cascavel;PR;178;172;0.08426966292134831;3.914285714285714
ea8482cd71df3c1969d7b9473ff13abc;sao paulo;SP;1188;1132;0.08417508417508418;3.983065198983912
76d5af76d0271110f9af36c92573f765;sao paulo;SP;155;128;0.08387096774193549;4.097402597402597
620c87c171fb2a6dd6e8bb4dec959fc6;petropolis;RJ;787;724;0.08386277001270648;4.2661498708010335
ce7d1888639e6fb06b2749cbfdac1ff7;baependi;MG;84;78;0.08333333333333333;4.107142857142857
218d46b86c1881d022bce9c68a7d4b15;ribeirao preto;SP;421;382;0.0831353919239905;4.174224343675418
3b15288545f8928d3e65a8f949a28291;ibitinga;SP;121;101;0.08264462809917356;3.908333333333333
1d8dbc4f32378d715c717c1c1fc57bae;arapongas;PR;97;91;0.08247422680412371;3.9263157894736844
1336efc61c316ddf92c899eb817f7cae;assis;SP;85;74;0.08235294117647059;3.9411764705882355
17f51e7198701186712e53a39c564617;sao paulo;SP;61;56;0.08196721311475409;4.344262295081967
